page,rank,product_name,price,listed_at,country,shop,shop_total_sales,category,commission,sales_period,sales_growth,gmv_period,total_sales,total_gmv
4,89,"Crystal Beaded Bracelets for Women and Men - Tiger Eye, Obsidian, Black Tourmaline Jewelry for Banquet Party - Money Attraction, Good Luck, Protection Bracelet Encouragement Gift for Her couple bracelet Daily Wear backtoschool",$6.98 - 12.98,,美国,Charmed Matrix,7.56万,手环与手链,13%,3935,757.3%,$2.96万,8265,$7.57万
4,90,2Pieces/Set 10mm Love Heart Shape Chain Necklace and Bracelet Men or Women Hip Hop Iced Out Bling Bling Chain Necklace and Bracelet Fashion Set Jewelry Valentines Gift,$4.39,,美国,ZIDOM Hiphop Store,31.64万,首饰套装,8%,3932,-7.18%,$2.47万,1.85万,$12.88万
5,101,"Bling Hair Gifts BEAKEY Makeup Sponge, Latex-Free Beauty Sponge for Blending, Makeup Sponges for Foundation Liquid Cream and Powder.",$29.90,,美国,Bling Hair Wigs Shop,22.47万,发带发箍,5%,3678,2965%,$11.93万,6795,$22.30万
5,102,Tewiky Gold Box Chain Scalloped Shell Heart CZ Initial Necklace A–Z Micro Pave Letter Pendant For Valentine's Day gifts Dainty Gold Letter Elegant Necklace,$11.63 - 11.99,,美国,Tewiky,75.46万,项链,12%,3652,24.64%,$4.71万,1.42万,$18.56万
5,103,"Summervibes Dreamlover Wig Grip Band for Lace Front Wigs, Adjustable Elastic Wig Grip Headband Wig Band for Women",$16.99,,美国,Dreamlover Online,11.71万,接发与假发配件,15%,3626,261.52%,$6.63万,4.65万,$78.18万
5,104,"YLNWH LED Earrings, Light Up Stud Earrings, Glowing Diamond Crown Pendant Earring for Women and Men, LED Jewelry for Party, Wedding, Birthday, Night Out, Disco, Festival",$9.49,,美国,Nuvilite,5.33万,耳环,15%,3587,2229.22%,$3.58万,5429,$5.07万
5,105,"Women's Thick Seamless Cotton Hair Ties - 1PCS Random Color, High Stretching, No Damage Elastic Hair Accessory, Fashionable Hairband, Scrunchie, Stretchy Tie Band for Daily Ponytail Use",$30.90,,美国,WIG QUEEN,14.45万,头绳,5%,3565,36.54%,$12.42万,6667,$23.43万
5,106,AISI HAIR Long Straight Clip In Hair Extensions Synthetic Hair Extensions 20 Inch 4PCS Thick Hairpieces for Women,$19.99 - 25.99,,美国,AISI HAIR BEAUTY,66.66万,化纤接发&发片,5%,3553,543.66%,$7.12万,4.24万,$105.27万
5,107,"【Flash Sale】Men's Cowhide Elastic Adjustable Waist Leather Belt, Modern Easy-Release Ratchet Buckle, Elegant Design for Dress & Casual Wear, Men's Accessories, Gifts for Boyfriend, Gift Box Included, Leather Belts, Adjustable Waist Belt,summerwins summerw",$9.69 - 17.59,,美国,VATAN SHOP,8.30万,皮带,10%,3547,-15.51%,$4.25万,3.07万,$45.79万
5,108,"Fashion O Men‘s Sunglasses Case - Great for Cycling, Motorcycle Riding, Fishing & outdoors",$28.59 - 36.89,,美国,Fihejyd Bloom,4.00万,眼镜盒与配件,12%,3535,-11.89%,$11.10万,2.55万,$82.59万
